"id","created_on","updated_on","status","name","parent_id","updated_by_id","created_by_id"
"120bacce-7caf-4a66-a7eb-42241d5ffdc8","2022-04-19 00:26:05.104649+00","2022-04-21 14:29:02.736431+00",90,"Lobophora variegata","d63b491c-adc7-4869-aa6c-6c2a784830d5","5d3c8ed6-6898-4368-a3c0-dfb1d017142b","5d3c8ed6-6898-4368-a3c0-dfb1d017142b"
"1212d1b4-5425-47d2-8bce-40bac7020dfe","2023-12-13 03:38:02.661718+00","2023-12-13 03:38:02.661742+00",90,"Echinometridae","f7980725-60b3-47c9-abd2-0a006ea30061",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"123d5e37-3561-4873-89fd-fd1a5ccbd3c5","2018-04-04 19:03:42.542135+00","2018-08-28 17:51:32.145924+00",90,"Blastomussa","350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c",NULL,NULL
"132ae52b-0cc6-4877-93ca-becbc612ea64","2018-04-04 19:03:41.872721+00","2018-04-04 19:03:41.872744+00",90,"Faviidae","350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c",NULL,NULL
"147fe69c-4e2c-42f5-81fd-dde608c9ac27","2020-02-17 19:15:07.89847+00","2020-02-17 19:15:07.898498+00",90,"Oculina","ab6d461a-6004-4675-8d42-cf63f405c7eb",NULL,NULL
"149a3fa6-6b29-4004-aa47-03d7dc3648cc","2024-05-22 06:02:57.232599+00","2024-05-24 00:27:28.230575+00",90,"Platygyra pini","9cd8176f-b5b4-474e-87bc-f2744338fe00","efd71c80-2c99-4bad-9bfc-72554d809635","efd71c80-2c99-4bad-9bfc-72554d809635"
"14a38ea6-beab-4871-8249-a015b5423268","2018-04-04 19:03:42.356102+00","2018-04-04 19:03:42.356122+00",90,"Sandalolitha","2085b131-1ed4-4b5b-9129-fb655a7659bd",NULL,NULL
"14da4b7b-79b2-4063-b2e3-5c208a251933","2021-02-04 04:06:35.477303+00","2021-02-04 04:06:35.477328+00",90,"Amphimedon viridis","ce796fda-508d-40ad-9c96-57b32423f9f7",NULL,"356bce05-ff67-4abc-ad03-bc57fa5190a0"
"152fe185-edf5-43b1-968c-502fcb289367","2020-09-02 16:09:18.675181+00","2020-09-02 16:09:18.675205+00",90,"Echinothrix","f7980725-60b3-47c9-abd2-0a006ea30061",NULL,"356bce05-ff67-4abc-ad03-bc57fa5190a0"
"15795086-4e69-4383-b5ca-765c8ef858c0","2020-02-17 19:15:09.666919+00","2023-11-06 12:46:58.98387+00",90,"Erythropodium caribaeorum","cc081ec3-8953-4f75-b072-60de0a67702d",NULL,NULL
"157a194a-f6f6-4b95-893e-407ff303ded4","2023-12-13 04:30:21.911909+00","2023-12-13 04:30:21.911929+00",90,"Gorgonia","992d1464-3604-4383-b49d-41d17d5758b9",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"1583ffd5-f3a1-4346-ab3c-ada28292b22d","2020-02-17 19:15:08.061426+00","2020-02-17 19:15:08.061455+00",90,"Orbicella","ab6d461a-6004-4675-8d42-cf63f405c7eb",NULL,NULL
"16287ac3-a2c5-4d10-ad2d-eae00c4cc148","2020-02-17 19:15:06.67178+00","2023-11-06 13:02:44.785278+00",90,"Millepora complanata","995f68d0-2dec-4e22-916a-cf1f44c1663b",NULL,NULL
"17131731-e6c8-431e-9a55-8cc438ec5a23","2020-02-17 19:15:07.386627+00","2023-11-06 13:06:27.846346+00",90,"Mycetophyllia ferox","d6d74742-d8ed-4954-b164-fc6607c3efa9",NULL,NULL
"17bbf449-3823-4806-9e7c-9cd47f1288e6","2018-04-04 19:03:42.492863+00","2018-04-04 19:03:42.492911+00",90,"Scapophyllia","469174fe-ca4b-40e3-839f-435bd1b14989",NULL,NULL
"1801d522-1556-4915-8ace-92bb1faf39ab","2023-09-29 08:57:03.177622+00","2023-11-06 09:46:36.793918+00",90,"Acropora gemmifera","050c0689-0b01-4a6c-afbf-a5d3ca39c310",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"18c4c1ee-a261-493d-b868-4b8a5e42bfc6","2018-04-04 19:03:43.659064+00","2018-04-04 19:03:43.659082+00",90,"Silt","b76bca12-884b-4404-bb9f-97d505b0fe58",NULL,NULL
"18d122c9-bbb0-4a53-a878-439e9a715d09","2018-04-04 19:03:41.546806+00","2018-04-04 19:03:41.54683+00",90,"Anacropora","a36b36c6-1f9f-4aa1-922c-61e74c786187",NULL,NULL
"190d2f0d-67be-48a3-8ea0-33e66546f3f7","2018-04-04 19:03:42.106413+00","2018-08-28 17:51:33.017077+00",90,"Oulophyllia","469174fe-ca4b-40e3-839f-435bd1b14989",NULL,NULL
"190e3c16-03c9-44cb-93c6-420b654090ae","2020-02-17 19:15:08.631404+00","2020-02-17 19:15:08.631434+00",90,"Cliona delitrix","07828914-a3e2-40a6-95f2-0bc6f9f31adf",NULL,NULL
"194a4c71-0bc7-4f4d-9890-77a1487531a8","2020-02-17 19:15:06.91847+00","2023-11-06 12:31:22.278868+00",90,"Diploria labyrinthiformis","4e17ca21-b9bd-4d32-8a44-59856b89c38f",NULL,NULL
"1960cc55-c507-41c8-9119-f87b07776a31","2020-02-17 19:15:09.242979+00","2020-02-17 19:15:09.243006+00",90,"Ircinia strobilina","43471c27-e415-4559-913f-6d3c3d50e199",NULL,NULL
"199191da-6e7e-4237-b117-43296ee5b588","2023-12-13 04:50:24.507327+00","2023-12-13 04:50:24.507349+00",90,"Dysideidae","6b9fdd82-685f-4f21-8fa3-883e06be2c30",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"1991bace-e755-49e8-85eb-cf3edc790170","2019-11-04 07:52:53.478068+00","2019-11-04 15:06:05.729785+00",90,"Rhumpella","3aa2e125-3f74-4f91-94f6-fd030319f2b1","295864ff-cfa5-451b-bb5a-db3d4753979a","295864ff-cfa5-451b-bb5a-db3d4753979a"
"19d361d5-f602-4901-9933-d00dbf40d989","2024-05-18 10:51:24.067905+00","2024-05-20 03:06:09.384111+00",90,"Favites valenciennesii","6d63693c-592d-4da5-88d8-7125832cbd76","efd71c80-2c99-4bad-9bfc-72554d809635","efd71c80-2c99-4bad-9bfc-72554d809635"
"1a02097a-5a59-4136-8208-c9897e8325cb","2024-05-22 04:16:36.719616+00","2024-05-24 00:15:38.847616+00",90,"Isopora palifera","8672775c-9167-42bd-b885-f1807f9ac9a4","efd71c80-2c99-4bad-9bfc-72554d809635","efd71c80-2c99-4bad-9bfc-72554d809635"
"1a5555f5-972c-4565-9fa6-156a113ee123","2020-02-17 19:15:09.794645+00","2020-02-17 19:15:09.79467+00",90,"Pinna","619004d3-456b-4d54-a52b-fd8017ad47f2",NULL,NULL
"1aa38424-a8ab-4c85-b463-10606426e66e","2018-04-04 19:03:43.614765+00","2018-04-04 19:03:43.614784+00",90,"Tridacna giant clam","3dc38d25-ed80-4049-af16-e85f04f97cc6",NULL,NULL
"1aa5e338-ccd0-4a34-9c6f-7595beee04d4","2020-02-17 19:15:02.571054+00","2020-02-17 19:15:02.571085+00",90,"Coelothrix","09226989-50e7-4c40-bd36-5bcef32ee7a1",NULL,NULL
"1b8ee2de-d362-4534-82bf-59239747eae4","2023-11-07 02:45:07.861687+00","2024-02-14 04:58:21.309946+00",90,"Ricordeidae","a19ad300-fc97-4126-867e-19b79f2d3041","6bf68af6-c8a9-4c1a-bd8e-a2d3608e470f","76966e8b-18d1-4e1c-802f-558ecd9781f3"
"1c0af377-dc41-4025-bc0a-917405f2a56c","2018-04-04 19:03:43.831995+00","2023-05-30 15:36:48.963026+00",90,"Zoanthid","3dc38d25-ed80-4049-af16-e85f04f97cc6",NULL,NULL
"1c3b186a-7e30-4fbb-bd0e-95362416e1dd","2020-02-17 19:15:04.037995+00","2020-02-17 19:15:04.038025+00",90,"Corallimorpharia","3dc38d25-ed80-4049-af16-e85f04f97cc6",NULL,NULL
"1c6f276f-0860-480e-ac74-9f638b5fb144","2023-09-29 08:29:14.186987+00","2023-11-06 09:45:05.882477+00",90,"Acropora divaricata","050c0689-0b01-4a6c-afbf-a5d3ca39c310",NULL,"76966e8b-18d1-4e1c-802f-558ecd9781f3"
"1c8b5e88-9310-4184-87a6-4774a05d6337","2018-04-04 19:03:43.072427+00","2018-08-28 17:51:33.47681+00",90,"Trachyphyllia","469174fe-ca4b-40e3-839f-435bd1b14989",NULL,NULL
