CoralNetID,CoralNetName,Default short code,Functional group,Public sources using,Public annotation count,MERMAID_BA,MERMAID_GF,MermaidBaID,MermaidGfID,CoralFocus3Label
1648,Crown of Thorns Sea Star,COT,Other Invertebrates,38,39,Acanthaster planci,NA,2bdfc0fe-e0d3-4be2-970b-508ea40e1495,NA,Other invertebrates
190,Coscinaraea,Cosci,Hard coral,58,271,Coscinaraea,NA,53b51b8f-3d3d-426a-9316-5057cc57d7f9,NA,Hard coral
1272,CRED-Coscinaraea spp,*COSP,Hard coral,16,1073,Coscinaraea,NA,53b51b8f-3d3d-426a-9316-5057cc57d7f9,NA,Hard coral
1373,Pseudodiploria clivosa,PseuCliv,Hard coral,32,906,Pseudodiploria clivosa,NA,e7f1d46b-a613-40fe-968f-8fddc7c13c98,NA,Pseudodiploria
69,Montastraea,Montastr,Hard coral,46,998,Montastraea,NA,e2a62f32-1424-44fa-ba52-fbdd4e9ee6f0,NA,Montastraea
64,Gardineroseris,Gardineros,Hard coral,61,1002,Gardineroseris,NA,04b943e8-610c-4158-b4c3-9dd884ab9376,NA,Agariciidae
1183,Meandrina meandrites,MM,Hard coral,34,2819,Meandrina meandrites,NA,330fdf21-d50d-4e03-9421-57a66d892d0a,NA,Meandrina meandrites
1298,CRED-Pachyseris spp,*PACS,Hard coral,11,2611,Pachyseris,NA,4d493a0d-6c7e-4f5f-8a71-06bac94a8c53,NA,Hard coral
71,Pachyseris,Pachyseris,Hard coral,63,2256,Pachyseris,NA,4d493a0d-6c7e-4f5f-8a71-06bac94a8c53,NA,Hard coral
1775,Dichocoenia stokesi,Dicho_stok,Hard coral,31,284,Dichocoenia stokesii,NA,a2935afb-895a-44b8-8f94-c83a14f8f110,NA,Remove
2037,Alveopora,Alveopora,Hard coral,48,52,Alveopora,NA,6a813c81-58a1-4fb4-ace8-b62e7c4183ae,NA,Remove
220,Codium,Cod,Algae,76,1479,Codium,NA,b8c4efbb-9c72-4711-afa7-869e44a13f1f,NA,Macroalgae
1609,Dipsastraea,Dipsa,Hard coral,63,12712,Dipsastraea,NA,d41cc126-63b8-4fa7-88d6-9b9b7648ba80,NA,Dipsastraea
1309,CRED-Psammocora spp,*PSSP,Hard coral,15,712,Psammocora,NA,748cb267-f47c-4920-b5b0-39109ade448f,NA,Psammocora
75,Psammocora,Psammo,Hard coral,67,6715,Psammocora,NA,748cb267-f47c-4920-b5b0-39109ade448f,NA,Psammocora
1781,Madracis decactis,MadDeca,Hard coral,32,1547,Madracis decactis,NA,62b87704-ca62-415d-a340-48764e8b6c69,NA,Madracis
1360,Agaricia lamarcki,AgLam,Hard coral,27,197,Agaricia lamarcki,NA,89e34529-a92a-4216-b549-dd2110c07df0,NA,Agaricia
1899,ARMS-CREP-Bryozoan,_BRY,Other Invertebrates,15,40729,Bryozoan,NA,47347942-7abe-4a3c-882f-20e595c8a261,NA,Other invertebrates
1853,Bryozoan,bryozoan,Other Invertebrates,74,1700,Bryozoan,NA,47347942-7abe-4a3c-882f-20e595c8a261,NA,Other invertebrates
584,Ulva,Ulva,Algae,79,19072,Ulva,NA,4fab6349-d704-4883-bb83-6288e3c7b03f,NA,Macroalgae
1287,CRED-Leptastrea spp,*LEPT,Hard coral,15,2910,Leptastrea,NA,70407def-b048-49d4-9a43-3eb0021f7b68,NA,Leptastrea
66,Leptastrea,Lepta,Hard coral,90,14101,Leptastrea,NA,70407def-b048-49d4-9a43-3eb0021f7b68,NA,Leptastrea
2498,Leptastrea bewickensis,LEBEW,Hard coral,35,18,Leptastrea,NA,70407def-b048-49d4-9a43-3eb0021f7b68,NA,Leptastrea
610,Euphyllia,Euphyllia,Hard coral,28,10,Euphyllia,NA,8b706c7f-fcf7-4d03-b271-58a06d77fbb4,NA,Hard coral
1356,Acropora prolifera,AcrPro,Hard coral,23,3,Acropora prolifera,NA,9f6436ae-e654-4845-a853-85344a2f8675,NA,Acropora
609,Plerogyra,Plero,Hard coral,32,39,Plerogyra,NA,eaebab16-9d01-4723-b120-6239314826ab,NA,Hard coral
3097,Hard Coral (columnar),HC_column,Hard coral,16,41,Hard coral,Columnar,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,cbff6080-6387-44e5-b7ad-35f35f3db3a7,Hard coral
218,Asparagopsis,Asparago,Algae,48,646,Asparagopsis,NA,482031e2-dcaf-44ba-af36-fa425bb72533,NA,Macroalgae
1355,CRED-Asparagopsis spp,*ASPP,Algae,16,1617,Asparagopsis,NA,482031e2-dcaf-44ba-af36-fa425bb72533,NA,Macroalgae
7005,Halophilia,halphil,Other,13,22229,Halophila,NA,01d8297a-1d37-4ccf-bea5-dea733b1f575,NA,Seagrass
1777,Favia fragum,FaviaFrag,Hard coral,22,19,Favia fragum,NA,ac80a65f-d18b-4066-8162-2f3624f40e90,NA,Remove
200,Symphyllia,Symph,Hard coral,59,1196,Symphyllia,NA,f87eae02-9123-4931-98a0-8d635670a46b,NA,Mussidae
1317,CRED-Corallimorph,*CMOR,Other Invertebrates,17,5792,Coralimorph,NA,a19ad300-fc97-4126-867e-19b79f2d3041,NA,Coralimorph
390,Mycetophyllia,Mycetophy,Hard coral,21,1,Mycetophyllia,NA,d6d74742-d8ed-4954-b164-fc6607c3efa9,NA,Mussidae
1362,Isophyllia rigida,IsophRig,Hard coral,14,8,Isophyllia rigida,NA,dfed579c-b5d0-41a9-bfc1-e2dbbd94eb7e,NA,Mussidae
77,Stylocoeniella,Styloc,Hard coral,55,85,Stylocoeniella,NA,4fddc309-01c7-4040-86b4-f80f0f0235e9,NA,Hard coral
2457,Helioseris cucullata,HeCuc,Hard coral,22,1,Helioseris cucullata,NA,58c5b3fa-7afc-4f20-8f9e-18e6aa14aeb5,NA,Agariciidae
145,Sea cucumber,cucumber,Other Invertebrates,28,223,Sea cucumber,NA,702a838d-aebd-4547-bc07-e161c3262cbc,NA,Other invertebrates
474,Siderastrea,Siderastr,Hard coral,35,2586,Siderastrea,NA,33f6866f-cc76-4125-b27d-84ac0110ba94,NA,Siderastrea
1877,ARMS-CREP-Green encrusting macroalgae,_GREN,Algae,15,1445,Macroalgae,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Macroalgae
1337,CRED-Encrusting macroalgae,*EMA,Algae,29,163479,Macroalgae,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Macroalgae
321,Macroalgae: Encrusting,MAEN,Algae,14,99636,Macroalgae,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Macroalgae
324,Macroalgae: Encrusting: brown,MAENB,Algae,38,11069,Macroalgae,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Macroalgae
